Marque,Ingr,Rating,Reference
Elizabeth Arden," PHENOXYETHANOL, TRIS (TETRAMENTHYLHYDROXYPIPERIDINOL) CITRATE, VIOLET 2), BENZYL BENZOATE (F, FD&, CI 19140, BUTYLMETHOXYDIBENZOYLMETHANE,BENZYL SALICYLATE, BUTYLENE GLYCOL
DICAPRYLATE/DICAPRATE, AQUA (WATER/EAU),CI 14700 (RED 4), RASPBERRY KETONE, SODIUM PHOSPHATE, COMMIPHORA MUKUL RESIN EXTRACT, 1), CI 60730 (EXT VIOLET 2) ALCOHOL OF VEGETAL ORIGIN 80% VOL, GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE",5.0,Provocative Woman Eau de Parfum pour femme
Antonio Banderas," HYDROXYCITRONELIAL, BUTYROSPERMUM PARKII (SHEA BUTTER), IONONE, LIMONENE,SD ALCOHOL 40-B (ALCOHOL DENAT, AESCULUS HIPPOCASTANUM SEED EXTRACT,BHT, TOCOPHEROL, CI 14700,CI 42090 (BLUE 1), BHT, STEARETH-2,BENZYL SALICYLATE,REMENT MISES &AGRAVE, CI 47005 (D&C YELLOW NO, DIHYDROXYACETONE, CENTAUREA CYANUS FLOWER WATER, SODIUM STANNATE, ALPHA-ISOMETHYL IONONE – CITRAL – CITRONELLOL – COUMARIN – GERANIOL – LIMONENE – LINALOOL, HYDROGENATED LECITHIN",4.5,Queen of Seduction Eau de Toilette pour femme
GUERLAIN," PARFUM, CI 17200, TRIDECETH-2 CARBOXAMIDE MEA, ETHYL HEXYL SALICYLATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, HEXYLCINNAMAL, FRAGRANCE, CI 15850 (RED 7, CI 19140
(YELLOW 5), RED 33 (CI 17200),Tenir hors de portée des enfants,PARFUM (FRAGRANCE)",5.0,Mon Guerlain Intense Eau de Parfum pour femme
Lancome," AUF EINEM PRODUKT FINDET SICH DIESE JEWEILS AM ENDE DER INHALTSSTOFFLISTE,#08212 ALCOHOL, MAGNESIUM ASCORBYL PHOSPHATE, 
COUMARIN,1 (CI 42090),DA L’ORÉAL REGELMÄßIG NEUE WISSENSCHAFTLICHE ERKENNTNISSE IN DIE PRODUKTFORMULIERUNG EINFLIEßEN LÄSST, LIRE LA LISTE D’,PARFUM ( FRAGRANCE), BENZYL GLYCOL, BENZYL CINNAMATE, PHENOXYETHANOL, PARFUM (FRAGRANCE) ·AQUA (WATER) ·ETHYLHEXYL,PARFUM/FRAGRANCE, [+/- CI 77491, CELLULOSE GUM, CI 60730 (EXT VIOLET 2) ALCOHOL OF VEGETAL ORIGIN 80% VOL, CI 14700, FRAGRANCE (PARFUM), SODIUM BENZOATE",3.8,Miracle Blossom Eau de Parfum pour femme
The Library of Fragrance," FD&C RED NO, B205877/1), WATER ( AQUA), ALUMINUM CHLOROHYDRATE, CETEARYL ETHYLHEXANOATE, SACCHAROMYCES ZINC FERMENT, 17200 (RED 33), B217785/1), ALPHA-ISOMETHYL IONONE – CITRAL – CITRONELLOL – COUMARIN – GERANIOL – LIMONENE – LINALOOL,2-HEXANEDIOL, HEXYLCINNAMAL, CI 42090/BLUE 1 [V1416E], B188567/1), DISTILLED WATER",4.1,Neroli eau de cologne pour femme
Parfums De Marly,"#16093 DIISOSTEARYL MALATE, B221715/1), TOURMALINE,_x000D_
LOWER MASK: AQUA / WATER / EAU, CI 42090 (BLUE 1), EXT VIOLET 2 (C, CI 60730 (EXT VIOLET 2) ALCOHOL OF VEGETAL ORIGIN 80% VOL, B188567/1), TETRASODIUM EDTA,ALCOOL DENAT, APRICOT KERNEL OIL POLYGLYCERYL-10 ESTERS,AQUA, CI 15510",5.0,Nisean Eau de Parfum mixte
John Varvatos," CITRATE, STEARETH-2, CI 14700 (RED 4),I, VEUILLEZ CONSULTER L'EMBALLAGE DU PRODUIT ACHET&EACUTE, B234239/1), CI17200, OHNE HIERZU RECHTLICH VERPFLICHTET ZU SEIN,C BLUE NO, CHONDRUS CRISPUS (CARRAGEENAN) POWDER, RETINYL PALMITATE, AQUA (WATER) – LIMONENE – LINALOOL – ETHYLHEXYL METHOXYCINNAMATE – BUTYL METHOXYDIBENZOYLMETHANE – CITRONELLOL – ETHYLHEXYL SALICYLATE – GERANIOL – BENZYL ALCOHOL – ISOEUGENOL – BENZYL BENZOATE – CI 60730 (EXT, 33 (CI 17200), SACCHAROMYCES IRON FERMENT, METHYLPROPANEDIOL, TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE (F, VIOLET 2) , CITRONELLOL, ETHYL HEXYL METHOXYCINNAMATE, ACRYLATES COPOLYMER",4.5,Artisan Blu Eau de Toilette pour homme
Burberry," CI 14700 / RED 4, BENZYL BENZOATE, CERATONIA SILIQUA GUM, ETHYLHEXYL PALMITATE, 60730),LIMONENE,2 (CI 60730), DIHYDROXYACETONE, SODIUM BENZOATE, BENZYLALCOHOL, TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE,COUMARIN, CI 15850 (RED 7, PARFUM (FRAGRANCE) ·AQUA (WATER) ·ETHYLHEXYL, PARFUM (FRAGRANCE) AQUA (WATER) BENZYL SALICYLATE LINALOOL HEXYL CINNAMAL HYDROXYCITRONELLAL ALPHA-ISOMETHYL IONONE CITRONELLOL LIMONENE GERANIOL EUGENOL BENZYL BENZOATE BENZYL ALCOHOL CITRAL, AESCULUS HIPPOCASTANUM SEED EXTRACT",4.7,Her Blossom Eau de Toilette pour femme
Maison Margiela," AMYL CINNAMAL,ETHYLHEXYL METHOXYCINNAMATE, EXT D&, SACCHAROMYCES MAGNESIUM FERMENT, CI 14700 / RED 4 (F, CENTAUREA CYANUS FLOWER WATER, AGAR,#08212 ALCOHOL,#07999 ALCOHOL,DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, ETHYLHEXYL PALMITATE, LECITHIN, FD&C RED NO, ANISE ALCOHOL, SYNTHETIC WAX,DIENTS SONT ADAPT&EACUTE, PARFUM/FRAGRANCE ·AQUA/WATER/EAU,INGREDIENTS  BUTYL ACETATE,EUGENOLCITRONELLOL",3.0,REPLICA Music Festival Eau de Toilette mixte
Mexx," PEG-8, SACCHAROMYCES ZINC FERMENT,#15080/A ALCOHOL,LES LISTES D’,PARFUM (FRAGRANCE), 1), DIAMOND POWDER, ISOBUTANE, CYAMOPSIS TETRAGONOLOBA (GUAR) GUM, HYDROXYCITRONELIAL, PARFUM/FRAGRANCE, POLYQUATERNIUM-7, DIETHYLAMINO HYDROXYBENZOYLHEXYL BENZOATE, OCTYLDODECANOL, CETTE LISTE D'INGR&EACUTE, CI60730 (EXT, LACTIC ACID",3.3,Black Man Eau de Parfum pour homme
Armani," CI 42090 (BLUE 1), AQUA (WATER) – LIMONENE – LINALOOL – ETHYLHEXYL METHOXYCINNAMATE – BUTYL METHOXYDIBENZOYLMETHANE – CITRONELLOL – ETHYLHEXYL SALICYLATE – GERANIOL – BENZYL ALCOHOL – ISOEUGENOL – BENZYL BENZOATE – CI 60730 (EXT, DIAMOND POWDER,#13877 ALCOHOL, CALCIUM LACTATE, DIETHYLAMINO HYDOXYBENZOYL HEXYL BENZOATE, DISODIUM EDTA,TES INVIT&EACUTE, (SD ALCOHOL 40-B), HYDROGENATED POLYISOBUTENE, VOTRE UTILISATION PERSONNELLE, GLYCERIN, PHOSPHOLIPIDS, B217785/1), AQUA (WATER), LIRE LA LISTE D'INGR&EACUTE,C VIOLET NO, SODIUM COCOAMPHOACETATE, CI 19140 (YELLOW 5)",4.0,Terra Di Gioia Eau de Parfum pour femme
Amouage,"YELLOW 5 8CI19140), DIHYDROXYACETONE, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, DIETHYLHEXYL ADIPATE, HYDROGENATED POLYISOBUTENE, COCAMIDOPROPYL BETAINE, 33 (CI 17200), VIOLET 2), PEG-90 GLYCERYL ISOSTEARATE, B, BUTYLPHENYL METHYLPROPIONAL –, METHYLPROPANEDIOL, 2 (CI 60730),BENZYL SALICYLATE, SIE GELTEN STETS NUR FÜR DAS JEWEILS BEZEICHNETE PRODUKT MIT DER DAZU ANGEGEBENEN PRODUKT-REFERENZNUMMER, DIETHYLAMINO HYDOXYBENZOYL HEXYL BENZOATE, TETRASODIUM EDTA,SD ALCOHOL 40-B (ALCOHOL DENAT, ADIPIC ACID NEOPENTYL GLYCOL TRIMELLITIC ANHYDRIDE COPOLYMER",5.0,Dia Eau de Parfum pour femme
Lalique," LIRE LA LISTE D'INGR&EACUTE,COUMARIN, LINALOOL ·COUMARIN,#13380 ALCOHOL,#10076 ALCOHOL, BENZOATE, METHYL 2-OCTYNOATE, DIETHYLHEXYL ADIPATE, AESCULUS HIPPOCASTANUM SEED EXTRACT, C VIOLET NO, CITRIC ACID, CITRONELLOL,CI 14700 – CI 19140 – CI 17200 (BROWN 1 REPLACEMENT), ETHYLHEXYLGLYCERIN",5.0,Soleil Eau de Parfum pour femme
Kenneth Cole," DIE SICH AUS VERSCHIEDENEN BESTANDTEILEN ZUSAMMENSETZEN (Z, DISTILLED WATER, WATER, DISCLAIMER:L’ORÉAL STELLT IHNEN DIE NACHSTEHENDEN INHALTSSTOFFLISTEN AUF IHREN WUNSCH ZUR VERFÜGUNG, WATER (AQUA),ALCOOL DENAT, CI42090, TRIS (TETRAMENTHYLHYDROXYPIPERIDINOL) CITRATE, PARAFFINUM LIQUIDUM,CI 60730 (EXT VIOLET 2),C BLUE N&DEG, CAPRYLIC/CAPRIC TRIGLYCERIDE, SACCHAROMYCES IRON FERMENT, AVANT D’, PARFUM / FRAGRANCE, ALPHA-ISOMETHYLIONONE, STEARETH-2, BUTHYL METHOXYDIBENZOYLMETHANE",4.0,RSVP Eau de Toilette pour homme
Giorgio Beverly Hills," CI 42090 (BLUE 1 LAKE)], DISODIUM EDTA (F, PANTHENOL, BENZOPHENONE-3, 
COUMARIN, 2 (CI 60730), GLYCINE SOJA (SOYBEAN / SOJA) OIL, BUTYLENE GLYCOL
DICAPRYLATE/DICAPRATE, 1 (CI 42090),REMENT MISES &AGRAVE, ETHYLHEXYL METHOXYCINNAMATE, JOJOBA ESTERS, BENZOPHENONE -3, FRAGRANCE / PARFUM, CI 17200, XANTHAN GUM, LYCIUM CHINENSE FRUIT EXTRACT, JOUR, CENTAUREA CYANUS FLOWER WATER",4.6,Giorgio Eau de Toilette pour femme
Afnan,"C VIOLET NO, CHLORPHENESIN, ALUMINUM CHLOROHYDRATE, HYDROGENATED COCO-GLYCERIDES,L ETHYLHEXYL METHOXYCINNAMATE LIMONENE,ETHYLHEXYL SALICYLATE,#07999 ALCOHOL,2 (CI 60730),GULI&EGRAVE, CITRONELLOL (F, METHYL 2-OCTYNOATE",3.8,Ornament Pour Homme Eau de Parfum pour homme
Burberry," SODIUM STANNATE, C10-18 TRIGLYCERIDES, COMPOUND TO BE CHARMANTE 49389001 DROM, CITRONELLOL ·EUGENOL, TRIS (TETRAMENTHYLHYDROXYPIPERIDINOL) CITRATE, TROMETHAMINE, FRAGRANCE (PARFUM),I, PROPANE, 79% VOL, POLYQUATERNIUM-7,ALCOHOL, ACRYLATES COPOLYMER,LES LISTES D'INGR&EACUTE, CITRATE,CITRONELLOLLINALOOL, PIPERONYL GLUCOSIDE",5.0,Her London Dream Eau de Parfum pour femme
Adidas,"ALPHA-ISOMETHYL IONONE, DIAMOND POWDER,AQUA / WATER, B221715/1),INGREDIENTS  BUTYL ACETATE, BUTYROSPERMUM PARKII (SHEA BUTTER), AMMONIUM LAURYL SULFATE, ETHYHEXYL SALICYLATE, CI 42090 / BLUE 1 , SACCHAROMYCES COPPER FERMENT, AQUA (WATER) – LIMONENE – LINALOOL – ETHYLHEXYL METHOXYCINNAMATE – BUTYL METHOXYDIBENZOYLMETHANE – CITRONELLOL – ETHYLHEXYL SALICYLATE – GERANIOL – BENZYL ALCOHOL – ISOEUGENOL – BENZYL BENZOATE – CI 60730 (EXT, B44508/2), AQUA / WATER, COMMIPHORA MUKUL RESIN EXTRACT, TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE",5.0,Fruity Rhythm Eau de Toilette pour femme
Revlon," LIMONENE, HYDROGENATED POLYISOBUTENE,CI19140 (YELLOW 5),2-HEXANEDIOL, CITRIC ACID – BHT, CI 42090 (FD&C BLUE NO,#16093 DIISOSTEARYL MALATE,CINNAMAL, VOTRE UTILISATION PERSONNELLE, CI 19140, PARAFFINUM LIQUIDUM, DISCLAIMER:L’ORÉAL STELLT IHNEN DIE NACHSTEHENDEN INHALTSSTOFFLISTEN AUF IHREN WUNSCH ZUR VERFÜGUNG,1% WATER SOL, FRAGRANCE,#10076 ALCOHOL, ALCOHOL",2.5,Charlie Gold Eau Fraiche Eau de Toilette pour femme
SANTINI Cosmetic," PARFUM / FRAGRANCE, PIPERONYL GLUCOSIDE, PARAFFINUM LIQUIDUM, CAPRYLYL GLYCOL, B229660/1),19140), DIETHYLAMINO HYDROXYBENZOYLHEXYL BENZOATE, CINNAMAL –, CITRONELLOL, ALCOHOL OF VEGETAL ORIGIN 80% VOL,PARFUM/FRAGRANCE, SACCHAROMYCES SILICON FERMENT,#15080/A ALCOHOL",3.7,Gold Yvesse Eau de Parfum pour femme
Ermenegildo Zegna," SODIUM COCOAMPHOACETATE, VIOLET (CI60730), PROPANEDIOL,#07999 ALCOHOL,4 (CI 14700), WATER(AQUA/EAU), STEARETH-21, CITRONELLOL ·EUGENOL, VIOLET 2, PARFUM (FRAGRANCE) – AQUA (WATER/EAU), 1, TETRASODIUM PYROPHOSPHATE,PARFUM/FRAGRANCE, CI 14700 (RED 4) CI 17200 (RED 33) CI 60730 (EXT,#16093 DIISOSTEARYL MALATE,CI 14700 – CI 19140 – CI 17200 (BROWN 1 REPLACEMENT), ETHYL HEXYL SALICYLATE, DIETHYLAMINO HYDROXYBENZOYLHEXYL BENZOATE, PHENOXYETHANOL",4.9,Z Zegna Uomo Eau de Toilette pour homme
Tous," PERFLUORODECALIN, LIRE LA LISTE D'INGR&EACUTE, B188567/1), 5 (CI 19140), 
COUMARIN, CI 60730 (EXT VIOLET 2), TRIS (TETRAMENTHYLHYDROXYPIPERIDINOL) CITRATE, LIRE LA LISTE D’, CINNAMYL ALCOHOL (F, CI17200, DISTILLED WATER, CAPRYLIC/CAPRIC TRIGLYCERIDE, CI 14700 / RED 4 (F, 2 0, BUTANE, FRAGRANCE (PARFUM)",3.6,1920 Eau de Toilette pour homme
Paco Rabanne,"I, CERATONIA SILIQUA GUM, BENZOATE, ETHYL ACETATE,#13380 ALCOHOL, CI 19140(YELLOW 5), ALPHA-ISOM ETHYL, PARFUM (FRAGRANCE) – AQUA (WATER/EAU), CI 19140 / YELLOW 5, RED 7 LAKE), ANISE ALCOHOL BHT, DIETHYLAMINO , TETRASODIUM PYROPHOSPHATE, ACETYL TRIBUTYL CITRATE, YELLOW 5 (C, GLUCOSE",4.4,Pure XS Night Eau de Parfum pour homme
Naomi Campbell," EVERNIA PRUNASTRI (OAKMOSS) EXTRACT,INGR&EACUTE,1 (CI 42090), PARFUM (FRAGRANCE) –, CENTELLA ASIATICA LEAF EXTRACT, ALPHA-ISOM ETHYL, PARFUM/FRAGRANCE, CI 42090 (BLUE 1 LAKE)],CINNAMAL,CI 60730 (EXT VIOLET 2), ANISE ALCOHOL, WIRD NACHFOLGEND EINE INHALTSSTOFFLISTE FÜR JEDEN BESTANDTEIL ANGEGEBEN,PARFUM (FRAGRANCE), B226070/1), CETEARYL ETHYLHEXANOATE, PHOSPHOLIPIDS,INGREDIENTS  BUTYL ACETATE, KÖNNEN VON EINER REFERENZ VERSCHIEDENE VERSIONEN MIT UNTERSCHIEDLICHEN ZUSAMMENSETZUNGEN IM UMLAUF SEIN",3.0,Bohemian Garden Eau de Toilette pour femme
CLEAN," CI 77499 (IRON OXIDES),ALPHA-ISOMETHYL IONONE, SODIUM HYALURONATE, BUTYLENE GLYCOL, PARFUM (FRAGRANCE) –, PENTAERYTHRITYL TETREA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, CI 15850 (RED 7, DIETHYLHEXYL ADIPATE,4 (CI 14700), XANTHAN GUM, LYCIUM BARBARUM (GOJI BERRY / BAIES DE GOJI) FRUIT EXTRACT, B221265/1)",4.0,Lovegrass Eau de Parfum mixte
Jeanne Arthes," DIHYDROXYACETONE, SUCROSE ACETATE ISOBUTYRATE, AQUA, 
EUGENOL, TRIS (TETRAMENTHYLHYDROXYPIPERIDINOL) CITRATE,UPPER MASK: AQUA / WATER / EAU, SODIUM HYALURONATE, SIE GELTEN STETS NUR FÜR DAS JEWEILS BEZEICHNETE PRODUKT MIT DER DAZU ANGEGEBENEN PRODUKT-REFERENZNUMMER, RED 4 (CI 14700), STYRENE/ACRYLATES COPOLYMER, PEAT WATER,CI 14700 (RED 4), CI 42090(BLUE 1), LINALOOL
",4.4,Rocky Man Silver Eau de Toilette pour homme
Naomi Campbell," ADIPIC ACID NEOPENTYL GLYCOL TRIMELLITIC ANHYDRIDE COPOLYMER, CITRONELLYL METHYCROTONATE, MALUS DOMESTICA FRUIT CELL CULTURE EXTRACT, SODIUM LAURETH SULFATE, SACCHAROMYCES SILICON FERMENT, BENZYL ALCOHOL, RED 33 (CI 17200),D&C VIOLET NO, PARFUM(FRAGRANCE), B, YELLOW 5 (C, CI 77891 (TITANIUM DIOXIDE)",2.5,Glam Rouge Eau de Toilette pour femme
Amouage," 17200 (RED 33), LAURETH-2, VIOLET 2 (CI 60730), HYDROLYZED WHEAT PROTEIN, EVERNIA FURFURACEA (TREEMOSS) EXTRACT, SODIUM STEARATE, HYDROXYCITRONELIAL, PARFUM (FRAGRANCE) –, FARNESOL (F, SODIUM LAURETH SULFATE",5.0,Myths Eau de Parfum pour homme
Jeanne Arthes," CI 60730 (EXT VIOLET 2) ALCOHOL OF VEGETAL ORIGIN 80% VOL, PEG-8, HYDROGENATED COCO-GLYCERIDES, MALUS DOMESTICA FRUIT CELL CULTURE EXTRACT, B221265/1), BENZOPHENONE-1, PARFUM, BUTYL METHOXYDIBENZOYLMETHANE, C VIOLET NO, COMPOUND TO BE CHARMANTE 49389001 DROM,ALCOOL DENAT, CI 61570 / GREEN 5 (F",2.8,Perpetual Silver Pearl Eau de Parfum pour femme
Gres,"C BLUE N&DEG, STEARETH-100,#12194/A ALCOHOL, ISOPROPYL MYRISTATE, STEARALKONIUM BENTONITE,#13877 ALCOHOL,CI 14700 – CI 19140 – CI 17200 (BROWN 1 REPLACEMENT),C BLUE NO, TINOGARD TT, CI 14700 (RED 4) , METHYL ANTHRANILATE",4.3,Madame Gres Eau de Parfum pour femme
Al Haramain," HYDROLYZED CORALLINA OFFICINALIS EXTRACT,INGR&EACUTE, PARFUM (FRAGRANCE), BUTYL METHOXYDIBENZOYLMETHANE, CITRAL (F, 79% VOL, PARFUM(FRAGRANCE), STYRENE ACRYLATES COPOLYMER, CI 42090(BLUE 1), DILAURYL THIODIPROPIONATE, WATER, HYDROLYZED JOJOBA ESTERS,COUMARIN, POLYSORBATE 60",4.8,Portfolio Neroli Canvas Eau de Parfum mixte
The Different Company," OLEA EUROPAEA (OLIVE) FRUIT OIL, GERANIOL (F, AMMONIUM LAURYL SULFATE, BENZOPHENONE-1, LINALOOL
,AQUA, CITRONELLOL, CI 61570 / GREEN 5 (F, BHT ,1% WATER SOL, GLYCINE SOJA (SOYBEAN / SOJA) OIL, HYDROGENATED STYRENE/METHYLSTYRENE/INDENE COPOLYMER, B170132/1)",3.4,Une Nuit Magnetique Eau de Parfum recharge mixte
Yves Saint Laurent,"HYDROXYCITRONELLAL, PARFUM (FRAGRANCE), PEG-40 STEARATE, BENZYL BENZOATE, CI 77163 (BISMUTH OXYCHLORIDE),ETHYLHEXYL METHOXYCINNAMATE, PEG-8, JOUR, PEG-4, CITRONELLOL, COCO-GLUCOSIDE, OCTYLDODECANOL, PEG-7 GLYCERYL COCOATE,INGR&EACUTE, MENTHOL, CETYL HYDROXYETHYLCELLULOSE, VIOLET 2) , SYNTHETIC WAX,5 (CI 19140), CI 17200 (RED 33)",4.8,Elle Eau de Parfum pour femme
Mauboussin," APRICOT KERNEL OIL POLYGLYCERYL-10 ESTERS, DILAURYL THIODIPROPIONATE, EUGENOL, DIETHYLAMINO , DISTILLED WATER, COMPOUND TO BE CHARMANTE 49389001 DROM, SILICA, ALLANTOIN,BENZYL SALICYLATE, CYCLOPENTASILOXANE",3.5,Une Histoire de Femme Sensuelle Eau de Parfum pour femme
Avon," C10-18 TRIGLYCERIDES, SIE GELTEN STETS NUR FÜR DAS JEWEILS BEZEICHNETE PRODUKT MIT DER DAZU ANGEGEBENEN PRODUKT-REFERENZNUMMER, ANISE ALCOHOL (F, GERANIL, ALPHA-ISOMETHYLIONONE, COMPOUND TO BE CHARMANTE 49389001 DROM, PEG-40 HYDROGENATED CASTOR OIL, HEXYLENE GLYCOL, CI 15510, D&, CI42090, ANISE ALCOHOL,ALPHA-ISOMETHYL IONONE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, HEXYLCINNAMAL",4.6,Scent for Men Fresh Citrus Eau de Toilette pour homme
Chopard," CETEARYL ETHYLHEXANOATE, POTASSIUM SORBATE, (SD ALCOHOL 39-C) –, CITRIC ACID – BHT,Tenir hors de portée des enfants, LIRE LA LISTE D'INGR&EACUTE, BENZYL SALICYLATE,HYDROXYCITRONELLAL, CI 19140(YELLOW 5),YELLOW 5 8CI19140), VIOLET 2), CI 42053 (GREEN 3), PROPYLENE GLYCOL, EUGENOL, BENZYL GLYCOL, CYAMOPSIS TETRAGONOLOBA (GUAR) GUM,LIMONENE",5.0,Wish Pink Diamond Eau de Toilette pour femme
Bvlgari,"33 (CI 17200), DIETHYLAMINO HYDROXYBENZOYLHEXYL BENZOATE, ANISE ALCOHOL (F, CETTE LISTE D'INGR&EACUTE, VIOLET 2 (CI 60730), ACACIA SENEGAL GUM,D&C VIOLET NO, PEG-90 GLYCERYL ISOSTEARATE, CITRIC ACID – BHT, SILICA,1% WATER SOL, HYDROGENATED MICROCRYSTALLINE WAX, PARAFFINUM LIQUIDUM,CI 19140 (YELLOW 5),COUMARIN, EXT VIOLET 2 (C, WATER/AQUA/EAU, BUTYL METHOXYDIBENZOYLMETHANE, CITRIC ACID, RICINUS COMMUNIS (CASTOR) SEED OIL",5.0,Eau Parfumee Au The Blanc eau de cologne mixte
Armani," LINALLOL,#16093 DIISOSTEARYL MALATE, CI 15510, BUTYLPHENYL METHYLPROPIONAL, 78, GERANIL, KÖNNEN VON EINER REFERENZ VERSCHIEDENE VERSIONEN MIT UNTERSCHIEDLICHEN ZUSAMMENSETZUNGEN IM UMLAUF SEIN, CI 14700 (RED 4) , CITRONELLOL (F, CHONDRUS CRISPUS (CARRAGEENAN) POWDER",4.0,Light di Gioia Eau de Parfum pour femme
Victoria's Secret," DIMETHICONE, METHYLPROPANEDIOL, BENZYLALCOHOL, MAGNESIUM ASCORBYL PHOSPHATE, CITRIC ACID,C ORANGE N&DEG, WATER (AQUA), PIROCTONE OLAMINE, PEAT WATER, NIACINAMIDE, WATER, JOJOBA ESTERS, PROPANEDIOL, BHT, EXT D&, BUTYROSPERMUM PARKII (SHEA BUTTER), B28669/1), 
EUGENOL",3.9,Lotus Desire spray corporel pour femme
Lalique," ETHYLHEXYL SALICYLATE,CI 14700 – CI 19140 – CI 17200 (BROWN 1 REPLACEMENT), CITRONELLOL ·EUGENOL, CI 17200, WATER(AQUA/EAU), BUTYLMETHOXYDIBENZOYLMETHANE, HEXANAL, O-CYMEN-5-OL,GERANIOL,PARFUM/FRAGRANCE,HYDROXYCITRONELLAL, CI17200, B, OCTYLDODECANOL,UPPER MASK: AQUA / WATER / EAU,C RED N&DEG",4.6,Perles de Lalique Eau de Parfum pour femme
Gucci," BENZYL BENZOATE (F, AQUA/WATER/EAU, PIPERONYL GLUCOSIDE, ISOPROPYL MYRISTATE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, SACCHAROMYCES IRON FERMENT, CI 14700 (RED 4) , HYDROGENATED COCO-GLYCERIDES, CYCLOPENTASILOXANE,4 (CI 15510), CI 17200 (RED 33)- CI 60730 (EXT, D&, ALPHA-ISOMETHYLIONONE, BENZYL GLYCOL, URIAGE THERMAL SPRING WATER,METHYL 2-OCTYNOATE, ETHYLHEXYL,LIMONENE",4.5,Guilty Cologne Pour Homme Eau de Toilette pour homme
DIOR,"CI 42090 (BLUE 1), 5 (CI 19140), BENZYLALCOHOL, OHNE HIERZU RECHTLICH VERPFLICHTET ZU SEIN, CETEARETH-30, RED 4 (CI 14700), ACETYL TRIBUTYL CITRATE, ADENOSINE,_x000D_
LOWER MASK: AQUA / WATER / EAU, PHENOXYETHANOL, PERFLUORODECALIN, B221715/1), HYDROGENATED LECITHIN, CI 47005 (D&C YELLOW NO,C BLUE N&DEG, ALPHA-ISOMETHYLIONONE, 
COUMARIN",3.0,J'adore Eau de Toilette Eau de Toilette pour femme
Etro," HYDROLYZED CORALLINA OFFICINALIS EXTRACT,1 (CI 42090), TITANIUM / TITANIUM DIOXIDE, SODIUM LAURETH SULFATE, ACRYLATES/OCTYLACRYLAMIDE COPOLYMER, CI 19140(YELLOW 5),DIENTS SONT ADAPT&EACUTE, CETEARYL ALCOHOL, VIOLET 2,AQUA/WATER/EAU, CALCIUM LACTATE, CI 60730 (EXT VIOLET 2) ALCOHOL OF VEGETAL ORIGIN 80% VOL, ACRYLATES COPOLYMER, CI60730 (EXT, ETHYL HEXYL SALICYLATE, COMPOUND TO BE CHARMANTE 49389001 DROM, CINNAMYL ALCOHOL, CINNAMAL –, ACACIA SENEGAL GUM, STYRENE/ACRYLATES COPOLYMER",4.8,Jacquard Eau de Parfum pour femme
Givenchy," AGAR, PEG-4,4 (CI 14700), COMPOUND TO BE CHARMANTE 49389001 DROM, STEARETH-21, TRIMETHYLSILOXYSILICATE, B44508/2), ISOPROPYL MYRISTATE, PIROCTONE OLAMINE, ACRYLATES COPOLYMER, YELLOW 5 (C,875191 06, OCTYLDODECYL PCA, AQUA/WATER/EAU, EHTYLHEXYL METHOXYCINNAMATE, DIETHYLAMINO HYDOXYBENZOYL HEXYL BENZOATE, GLUCOSE",4.4,Eaudemoiselle de Givenchy Eau Florale Eau de Toilette pour femme
Montblanc," METHYLPROPANEDIOL, YELLOW 5 (CI 19140), SACCHAROMYCES IRON FERMENT, ISOSTEARYL HYDROXYSTEARATE, ETHYLHEXYL HYDROXYSTEARATE, POLYQUATERNIUM-7, AVANT D’, URIAGE THERMAL SPRING WATER,PARFUM/FRAGRANCE, RED 7 LAKE), CI14700 (RED 4),ALCOOL DENAT, B217785/1), HEXANAL",4.7,Legend Eau de Parfum pour homme
Jeanne Arthes," CI 42090 / BLUE 1, GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, COMPOUND TO BE CHARMANTE 49389001 DROM,2 (CI 60730), OCTOCRYLENE, 
COUMARIN, STEARETH-100, EVERNIA PRUNASTRI (OAKMOSS) EXTRACT, PIPERONYL GLUCOSIDE, CI 19140 / YELLOW 5, LACTIC ACID,BENZYL BENZOATE",3.9,Sweet Sixteen Yellow Eau de Parfum pour femme
Liu Jo," SODIUM COCOAMPHOACETATE, LINALOOL
, ISOEUGENOL, CI 61570 / GREEN 5 (F, C, B174423/1),ETHYL ALCOHOL DENAT, PARFUM (FRAGRANCE) – AQUA (WATER/EAU), BLUE 1 (CI 42090), TOCOPHEROL, TITANIUM/TITANIUM DIOXIDE,TES INVIT&EACUTE, CI 17200(RED 33)",3.0,Lovely U Eau de Parfum pour femme
